INFO 2025-08-21 13:47:45,906 autoreload 12312 16020 Watching for file changes with StatReloader
INFO 2025-08-21 13:48:00,790 autoreload 10252 2424 Watching for file changes with StatReloader
INFO 2025-08-21 13:51:19,949 autoreload 10440 7108 Watching for file changes with StatReloader
INFO 2025-08-21 13:55:46,020 autoreload 14684 17140 Watching for file changes with StatReloader
INFO 2025-08-21 13:56:32,618 basehttp 12312 9160 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-21 13:56:34,380 basehttp 12312 9160 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4241
INFO 2025-08-21 13:56:34,973 basehttp 12312 19432 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-08-21 13:56:34,980 basehttp 12312 9160 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-08-21 13:56:39,056 basehttp 12312 19432 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-08-21 13:56:39,056 basehttp 12312 9160 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-08-21 13:56:40,036 basehttp 12312 9160 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-08-21 13:56:40,075 basehttp 12312 19432 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-08-21 13:56:40,251 basehttp 12312 19432 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2025-08-21 13:56:41,816 log 12312 19432 Not Found: /favicon.ico
WARNING 2025-08-21 13:56:41,822 basehttp 12312 19432 "GET /favicon.ico HTTP/1.1" 404 2704
INFO 2025-08-21 13:57:23,660 basehttp 12312 19432 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-08-21 13:57:23,809 basehttp 12312 19432 "GET /admin/ HTTP/1.1" 200 5624
INFO 2025-08-21 13:57:23,988 basehttp 12312 19432 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-08-21 13:57:24,125 basehttp 12312 19432 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-08-21 13:57:24,125 basehttp 12312 9160 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-08-21 13:58:15,188 basehttp 12312 13192 "GET /api/health/ HTTP/1.1" 200 130
WARNING 2025-08-21 13:58:15,282 log 12312 21452 Not Found: /api/auth/users/
WARNING 2025-08-21 13:58:15,288 basehttp 12312 21452 "POST /api/auth/users/ HTTP/1.1" 404 5583
WARNING 2025-08-21 13:58:15,349 log 12312 13192 Not Found: /api/auth/users/
WARNING 2025-08-21 13:58:15,350 basehttp 12312 13192 "POST /api/auth/users/ HTTP/1.1" 404 5583
WARNING 2025-08-21 13:58:15,422 log 12312 21452 Not Found: /api/equipos/
WARNING 2025-08-21 13:58:15,424 basehttp 12312 21452 "POST /api/equipos/ HTTP/1.1" 404 5574
WARNING 2025-08-21 13:58:15,479 log 12312 13192 Not Found: /api/equipos/
WARNING 2025-08-21 13:58:15,481 basehttp 12312 13192 "POST /api/equipos/ HTTP/1.1" 404 5574
WARNING 2025-08-21 13:58:15,554 log 12312 21452 Not Found: /api/proveedores/
WARNING 2025-08-21 13:58:15,561 basehttp 12312 21452 "POST /api/proveedores/ HTTP/1.1" 404 5586
WARNING 2025-08-21 13:58:15,621 log 12312 13192 Not Found: /api/proveedores/
WARNING 2025-08-21 13:58:15,668 basehttp 12312 13192 "POST /api/proveedores/ HTTP/1.1" 404 5586
WARNING 2025-08-21 13:58:15,793 log 12312 21452 Not Found: /api/calidad/no-conformidades/
WARNING 2025-08-21 13:58:15,833 basehttp 12312 21452 "POST /api/calidad/no-conformidades/ HTTP/1.1" 404 5625
WARNING 2025-08-21 13:58:15,973 log 12312 13192 Not Found: /api/calidad/no-conformidades/
WARNING 2025-08-21 13:58:16,001 basehttp 12312 13192 "POST /api/calidad/no-conformidades/ HTTP/1.1" 404 5625
WARNING 2025-08-21 13:58:16,127 log 12312 21452 Not Found: /api/ensayos/
WARNING 2025-08-21 13:58:16,128 basehttp 12312 21452 "POST /api/ensayos/ HTTP/1.1" 404 5574
WARNING 2025-08-21 13:58:16,194 log 12312 13192 Not Found: /api/ensayos/
WARNING 2025-08-21 13:58:16,195 basehttp 12312 13192 "POST /api/ensayos/ HTTP/1.1" 404 5574
INFO 2025-08-21 14:01:57,652 autoreload 12312 16020 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\polilims_backend\urls.py changed, reloading.
INFO 2025-08-21 14:01:58,122 autoreload 10252 2424 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\polilims_backend\urls.py changed, reloading.
INFO 2025-08-21 14:02:00,619 autoreload 13600 7048 Watching for file changes with StatReloader
INFO 2025-08-21 14:02:00,624 autoreload 20192 696 Watching for file changes with StatReloader
INFO 2025-08-21 15:06:34,402 autoreload 5948 18556 Watching for file changes with StatReloader
INFO 2025-08-21 15:06:44,324 basehttp 5948 15412 "GET /api/health/ HTTP/1.1" 200 130
INFO 2025-08-21 15:09:40,243 basehttp 5948 12332 "GET /api/health/ HTTP/1.1" 200 130
WARNING 2025-08-21 15:09:40,456 log 5948 12332 Forbidden: /api/auth/users/
WARNING 2025-08-21 15:09:40,458 basehttp 5948 12332 "POST /api/auth/users/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,526 log 5948 12332 Forbidden: /api/auth/users/
WARNING 2025-08-21 15:09:40,527 basehttp 5948 12332 "POST /api/auth/users/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,586 log 5948 12332 Forbidden: /api/equipos/
WARNING 2025-08-21 15:09:40,590 basehttp 5948 12332 "POST /api/equipos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,647 log 5948 12332 Forbidden: /api/equipos/
WARNING 2025-08-21 15:09:40,652 basehttp 5948 12332 "POST /api/equipos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,714 log 5948 12332 Forbidden: /api/proveedores/
WARNING 2025-08-21 15:09:40,715 basehttp 5948 12332 "POST /api/proveedores/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,760 log 5948 12332 Forbidden: /api/proveedores/
WARNING 2025-08-21 15:09:40,762 basehttp 5948 12332 "POST /api/proveedores/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,816 log 5948 12332 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:09:40,819 basehttp 5948 12332 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,866 log 5948 12332 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:09:40,867 basehttp 5948 12332 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,916 log 5948 12332 Forbidden: /api/ensayos/
WARNING 2025-08-21 15:09:40,919 basehttp 5948 12332 "POST /api/ensayos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,962 log 5948 12332 Forbidden: /api/ensayos/
